image,timestamp,experiment,training,dev,dev_resampled,YSI DO (%),YSI DO (mmHg),YSI barometer (mmHg),YSI temperature (C),setpoint temperature (C),DO patch r_msorm,DO patch g_msorm,DO patch b_msorm,reference patch r_msorm,reference patch g_msorm,reference patch b_msorm,reflectance standard r_msorm,reflectance standard g_msorm,reflectance standard b_msorm,setpoint O2 (fraction),ROI definitions,setpoint ID,scum tank
2019-09-26--16-54-05_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:54:11,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.7,137.916594,759.3,30.4,30.0,0.035267,0.065198,0.157822,0.173289,0.129454,0.184125,0.030912,0.137145,0.437791,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--16-54-14_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:54:20,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.7,137.916594,759.3,30.4,30.0,0.035305,0.065295,0.157969,0.173414,0.129577,0.184316,0.030979,0.137398,0.4381,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--16-54-23_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:54:29,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.74,137.980224,759.3,30.4,30.0,0.035251,0.065211,0.157773,0.173125,0.12939,0.184035,0.030923,0.137161,0.437497,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--16-54-32_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:54:38,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.8,138.075668,759.3,30.4,30.0,0.035337,0.065335,0.158065,0.173643,0.12969,0.184446,0.030989,0.137465,0.438377,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--16-54-41_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:54:47,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.8,138.075668,759.3,30.4,30.0,0.03527,0.065233,0.157784,0.173214,0.129422,0.18404,0.030865,0.137207,0.437588,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--16-54-50_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:54:56,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.78,138.043853,759.3,30.4,30.0,0.035339,0.065335,0.158066,0.173637,0.129721,0.184429,0.030969,0.137448,0.438396,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--16-54-59_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:55:05,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.7,137.916594,759.3,30.4,30.0,0.035266,0.065238,0.157862,0.173392,0.129502,0.184164,0.030919,0.137208,0.437696,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--16-55-08_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:55:14,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.74,137.980224,759.3,30.4,30.0,0.035333,0.06536,0.158167,0.173607,0.129768,0.184401,0.030989,0.137507,0.438367,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--16-55-17_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:55:23,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.78,138.043853,759.3,30.4,30.0,0.035282,0.065243,0.157863,0.173397,0.129539,0.184108,0.030909,0.137256,0.437719,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--16-55-26_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:55:32,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.7,137.898431,759.2,30.4,30.0,0.035314,0.065335,0.158108,0.173686,0.129727,0.184369,0.030956,0.137341,0.438349,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--16-55-35_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:55:41,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.7,137.902064,759.22,30.4,30.0,0.035294,0.065241,0.157839,0.173469,0.129576,0.184153,0.030909,0.137217,0.437778,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--16-55-44_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:55:50,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.7,137.916594,759.3,30.4,30.0,0.035336,0.065331,0.158189,0.173736,0.129721,0.184391,0.030986,0.137311,0.438418,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--16-55-53_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:55:59,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.7,137.916594,759.3,30.4,30.0,0.03529,0.065259,0.157881,0.173449,0.12953,0.184045,0.030944,0.137253,0.437724,0.179091,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--16-56-02_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 16:56:08,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,86.7,137.899104,759.203704,30.4,30.0,0.03532,0.065344,0.158095,0.173684,0.129739,0.184329,0.030962,0.137399,0.438122,0.178461,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",2,False
2019-09-26--17-14-07_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:14:12,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.8,125.3498,759.3,30.4,30.0,0.036562,0.065955,0.158585,0.172547,0.128946,0.184233,0.03082,0.136778,0.4376,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-14-14_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:14:19,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.8,125.3498,759.3,30.4,30.0,0.036554,0.065891,0.158235,0.172427,0.128911,0.183885,0.030822,0.136642,0.436868,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-14-23_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:14:28,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.8,125.3498,759.3,30.4,30.0,0.036616,0.066002,0.158478,0.172794,0.129164,0.184088,0.030873,0.136852,0.43761,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-14-32_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:14:37,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.7,125.190726,759.3,30.4,30.0,0.036594,0.065964,0.158402,0.172725,0.129133,0.183955,0.03087,0.136792,0.437171,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-14-41_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:14:46,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.7,125.190726,759.3,30.4,30.0,0.036639,0.066039,0.158445,0.172931,0.129254,0.184074,0.030878,0.136961,0.437568,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-14-50_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:14:55,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.7,125.190726,759.3,30.4,30.0,0.036586,0.065936,0.158186,0.172658,0.129028,0.183725,0.030816,0.136706,0.436809,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-14-59_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:15:04,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.7,125.197322,759.34,30.4,30.0,0.036649,0.066052,0.158431,0.173075,0.129297,0.184153,0.030903,0.136987,0.4375,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-15-08_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:15:13,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.7,125.190726,759.3,30.4,30.0,0.036579,0.065981,0.158176,0.17282,0.129114,0.183742,0.03083,0.136754,0.43684,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-15-17_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:15:22,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.7,125.190726,759.3,30.4,30.0,0.036665,0.066068,0.158402,0.173079,0.129352,0.18404,0.030899,0.136975,0.437453,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-15-26_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:15:31,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.7,125.190726,759.3,30.4,30.0,0.036618,0.066057,0.158338,0.172973,0.129241,0.183838,0.030847,0.136897,0.437028,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-15-35_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:15:40,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.7,125.190726,759.3,30.4,30.0,0.036589,0.065932,0.158098,0.172792,0.129102,0.183615,0.030828,0.136747,0.436615,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-15-44_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:15:49,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.7,125.190726,759.3,30.4,30.0,0.036629,0.066071,0.158382,0.173098,0.129281,0.184029,0.030859,0.136973,0.437181,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-15-53_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:15:58,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.7,125.190726,759.3,30.4,30.0,0.036652,0.066034,0.158341,0.173115,0.129297,0.183889,0.030863,0.136939,0.437111,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-16-02_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:16:07,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.7,125.190726,759.3,30.4,30.0,0.036644,0.066076,0.158304,0.173125,0.129336,0.183881,0.030889,0.136972,0.437088,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-16-11_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:16:17,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.7,125.190726,759.3,30.4,30.0,0.036625,0.066007,0.158155,0.172975,0.129162,0.18364,0.030828,0.136837,0.436693,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-16-20_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:16:25,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.7,125.190726,759.3,30.4,30.0,0.036709,0.066095,0.158376,0.17321,0.129413,0.183912,0.030875,0.137057,0.437285,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-16-29_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:16:34,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.7,125.190726,759.3,30.4,30.0,0.036659,0.066083,0.158311,0.17315,0.129329,0.183843,0.03084,0.136964,0.437062,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-16-38_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:16:43,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.7,125.190726,759.3,30.4,30.0,0.036671,0.066088,0.158366,0.173192,0.129376,0.183884,0.030823,0.137048,0.437251,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-16-47_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:16:52,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.7,125.190726,759.3,30.4,30.0,0.036629,0.066036,0.158244,0.173064,0.12925,0.183686,0.030859,0.136952,0.436863,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-16-56_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:17:01,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.7,125.190726,759.3,30.4,30.0,0.036696,0.066139,0.158423,0.173322,0.129457,0.18396,0.030903,0.137102,0.437262,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-17-05_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:17:10,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.7,125.190726,759.3,30.4,30.0,0.036618,0.066008,0.158133,0.172956,0.129172,0.183566,0.030855,0.136775,0.436432,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-17-14_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:17:19,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.7,125.190726,759.3,30.4,30.0,0.036694,0.066094,0.15839,0.173236,0.129444,0.183907,0.03088,0.137036,0.437188,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-17-23_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:17:29,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.7,125.190726,759.3,30.4,30.0,0.036668,0.066064,0.158203,0.173141,0.12931,0.18377,0.030845,0.13695,0.436775,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-17-32_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:17:37,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.7,125.190726,759.3,30.4,30.0,0.036689,0.066108,0.158341,0.173303,0.129387,0.183803,0.030892,0.137048,0.436928,0.162086,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-17-41_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:17:48,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,78.7,125.190726,759.3,30.4,30.0,0.036624,0.065981,0.158062,0.172989,0.129175,0.183574,0.03079,0.136727,0.436454,0.16054,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",3,False
2019-09-26--17-34-55_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:35:00,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,70.6,112.305785,759.3,30.4,30.0,0.03819,0.066944,0.159066,0.172301,0.128893,0.184069,0.030846,0.136552,0.437081,0.145081,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",4,False
2019-09-26--17-35-03_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:35:08,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,70.6,112.305785,759.3,30.4,30.0,0.038169,0.06691,0.158563,0.172169,0.128753,0.183437,0.03081,0.136581,0.436109,0.145081,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",4,False
2019-09-26--17-35-12_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:35:17,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,70.6,112.305785,759.3,30.4,30.0,0.038251,0.067018,0.158912,0.172691,0.129081,0.183868,0.030857,0.136754,0.436924,0.145081,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",4,False
2019-09-26--17-35-21_capture_params_ISO_100_exposure_time_0.4_camera_warm_up_5_led_on_True_.jpeg,2019-09-26 17:35:26,2019-09-26--16-02-10-Pi2E32-sweep_attempt_17_1569537028,True,False,False,70.6,112.305785,759.3,30.4,30.0,0.038209,0.066938,0.158655,0.172418,0.12894,0.183552,0.030826,0.136625,0.436279,0.145081,"{'DO Patch': [1040, 410, 230, 400], 'Reference Patch': [650, 875, 279, 252], 'Reflectance Standard': [660, 200, 250, 250]}",4,False
