image,timestamp,experiment,training,dev,dev_resampled,test,test_resampled,YSI DO (%),YSI DO (mmHg),YSI barometer (mmHg),YSI temperature (C),setpoint temperature (C),DO patch r_msorm,DO patch g_msorm,DO patch b_msorm,reference patch r_msorm,reference patch g_msorm,reference patch b_msorm,reflectance standard r_msorm,reflectance standard g_msorm,reflectance standard b_msorm,setpoint O2 (fraction),ROI definitions,setpoint ID,scum tank
2019-10-03--16-05-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:05:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.7,157.294884,760.7,23.5,,0.035346,0.069292,0.170866,0.162369,0.119148,0.168504,0.028345,0.125249,0.406397,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-05-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:06:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.673333,157.273058,760.8,23.5,,0.035302,0.069189,0.170537,0.162328,0.119194,0.168561,0.028352,0.125327,0.406451,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-06-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:06:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.6,157.135517,760.7,23.5,,0.035325,0.069192,0.170461,0.162362,0.119176,0.168509,0.028343,0.125307,0.406413,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-06-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:07:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.5,156.97615,760.7,23.5,,0.035331,0.06919,0.170507,0.162374,0.119153,0.168468,0.028364,0.125326,0.406364,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-07-28_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:07:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.5,156.981653,760.726667,23.5,,0.0353,0.069184,0.170498,0.162312,0.119145,0.168484,0.028336,0.125205,0.406272,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-07-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:08:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.5,156.961017,760.626667,23.5,,0.035336,0.069179,0.170397,0.16235,0.119152,0.168401,0.028343,0.125218,0.406169,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-08-28_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:08:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.5,156.961017,760.626667,23.5,,0.035316,0.069194,0.170456,0.162398,0.119165,0.168354,0.028325,0.125238,0.40619,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-08-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:09:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.5,156.97615,760.7,23.5,,0.035333,0.069144,0.170366,0.162292,0.119124,0.168323,0.028324,0.12523,0.406058,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-09-28_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:09:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.5,156.97615,760.7,23.5,,0.035323,0.06915,0.170435,0.162343,0.119122,0.168404,0.028345,0.125229,0.406205,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-09-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:10:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.5,156.97615,760.7,23.5,,0.035321,0.069162,0.17033,0.162263,0.119059,0.168316,0.02832,0.125157,0.405955,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-10-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:10:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.4,156.816784,760.7,23.5,,0.035334,0.069231,0.17056,0.162253,0.119054,0.168302,0.028313,0.125127,0.405954,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-10-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:11:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.4,156.816784,760.7,23.5,,0.035347,0.069136,0.170387,0.162318,0.119063,0.168348,0.028321,0.125181,0.406077,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-11-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:11:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.3,156.657417,760.7,23.5,,0.035368,0.06924,0.170504,0.162298,0.119075,0.168351,0.028362,0.125204,0.406036,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-11-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:12:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.3,156.678011,760.8,23.5,,0.035363,0.069197,0.170444,0.162306,0.119117,0.168342,0.028343,0.12516,0.406134,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-12-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:12:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.2,156.49805,760.7,23.5,,0.035349,0.069172,0.170388,0.16229,0.119035,0.168333,0.028294,0.125218,0.406037,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-12-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:13:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.173333,156.461033,760.726667,23.5,,0.035354,0.069177,0.170337,0.162346,0.119063,0.168296,0.028324,0.125167,0.40594,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-13-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:13:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.1,156.338684,760.7,23.5,,0.035354,0.069187,0.170326,0.162265,0.119098,0.168277,0.028339,0.125146,0.405971,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-13-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:14:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.1,156.344164,760.726667,23.5,,0.035373,0.069185,0.170377,0.162364,0.119081,0.168375,0.028306,0.125164,0.405994,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-14-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:14:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.1,156.338684,760.7,23.5,,0.035364,0.069184,0.170337,0.162311,0.119086,0.168327,0.028287,0.125145,0.405985,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-14-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:15:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.0,156.184792,760.726667,23.5,,0.035371,0.069204,0.170383,0.162355,0.11911,0.168344,0.028333,0.12514,0.406023,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-15-28_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:15:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.0,156.184792,760.726667,23.5,,0.035377,0.069179,0.170354,0.162258,0.119073,0.168321,0.028322,0.125217,0.406052,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-15-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:16:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,98.0,156.199848,760.8,23.5,,0.035415,0.069271,0.170686,0.162333,0.119126,0.16835,0.028335,0.125142,0.405965,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-16-28_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:16:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.9,156.04046,760.8,23.5,,0.035417,0.069236,0.170496,0.162312,0.119095,0.168248,0.028306,0.125142,0.405969,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-16-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:17:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.9,156.04046,760.8,23.5,,0.035413,0.069207,0.170419,0.162279,0.119084,0.168302,0.02832,0.125092,0.40594,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-17-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:17:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.9,156.04046,760.8,23.5,,0.035424,0.069212,0.170402,0.16231,0.119093,0.168337,0.028332,0.12514,0.405871,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-17-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:18:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.9,156.04046,760.8,23.5,,0.035396,0.069195,0.17038,0.162277,0.119099,0.168315,0.028321,0.125108,0.40593,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-18-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:18:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.8,155.881073,760.8,23.5,,0.03538,0.069202,0.170435,0.16233,0.119096,0.168312,0.028301,0.125114,0.405924,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-18-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:19:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.8,155.881073,760.8,23.5,,0.035404,0.069203,0.170324,0.162318,0.119074,0.168343,0.028305,0.125104,0.405966,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-19-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:19:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.8,155.875609,760.773333,23.5,,0.035409,0.069207,0.170371,0.162267,0.119066,0.16827,0.028308,0.125208,0.405894,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-19-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:20:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.7,155.706675,760.726667,23.5,,0.035415,0.069203,0.170397,0.162351,0.119101,0.168319,0.028326,0.125167,0.40591,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-20-28_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:20:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.7,155.706675,760.726667,23.5,,0.035417,0.069216,0.170336,0.162321,0.119093,0.168328,0.028339,0.12514,0.405887,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-20-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:21:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.7,155.721685,760.8,23.5,,0.035427,0.069218,0.170466,0.162342,0.119127,0.168281,0.028323,0.125218,0.405949,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-21-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:21:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.7,155.721685,760.8,23.5,,0.035406,0.069214,0.170337,0.162349,0.119102,0.168234,0.02832,0.12519,0.405951,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-21-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:22:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.6,155.54185,760.7,23.5,,0.035438,0.069219,0.170401,0.162363,0.119089,0.168344,0.028314,0.125172,0.405893,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-22-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:22:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.6,155.54185,760.7,23.5,,0.035448,0.069235,0.170433,0.162384,0.119089,0.168268,0.028298,0.125152,0.405888,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-22-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:23:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.6,155.547303,760.726667,23.5,,0.035413,0.069234,0.170262,0.162361,0.119098,0.168281,0.028304,0.125107,0.405904,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-23-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:23:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.6,155.54185,760.7,23.5,,0.035477,0.069246,0.170434,0.162339,0.119115,0.168331,0.028295,0.12516,0.405936,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-23-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:24:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.526667,155.430434,760.726667,23.5,,0.035469,0.069231,0.170394,0.16231,0.119095,0.168334,0.028322,0.125153,0.40596,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-24-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:24:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.5,155.397463,760.773333,23.5,,0.035482,0.069239,0.170336,0.162317,0.11908,0.168344,0.028295,0.12512,0.405983,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-24-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:25:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.5,155.382484,760.7,23.5,,0.035455,0.069238,0.170415,0.16233,0.119098,0.168323,0.028302,0.125167,0.405965,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-25-28_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:25:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.5,155.40291,760.8,23.5,,0.035489,0.069286,0.170485,0.162366,0.119125,0.168324,0.028305,0.12519,0.406003,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-25-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:26:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.473333,155.360407,760.8,23.5,,0.035471,0.069251,0.17039,0.162351,0.119147,0.168315,0.028304,0.125183,0.405986,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-26-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:26:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.4,155.243522,760.8,23.5,,0.035491,0.069273,0.170392,0.162379,0.119132,0.168416,0.028308,0.125238,0.405991,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-26-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:27:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.4,155.228559,760.726667,23.5,,0.035499,0.069244,0.170394,0.162316,0.119146,0.168371,0.028312,0.125102,0.405973,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-03--16-27-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-03 16:27:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,97.4,155.223117,760.7,23.5,,0.035488,0.069265,0.170427,0.162405,0.1191,0.168368,0.028324,0.12512,0.405986,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
